Fecha,precio_eth,volumen_eth,precio_nasdaq,volumen_nasdaq
2016-03-21 00:00:00,"11,85112269","28692538,04","4808,870117",1609230000
2016-03-22 00:00:00,"11,31742768","19752147,76","4821,660156",1596200000
2016-03-23 00:00:00,"12,40319151","19194415,66","4768,859863",1732630000
2016-03-24 00:00:00,"11,12762219","25440037,39","4773,5",1590990000
2016-03-28 00:00:00,"11,67625154","23146182,98","4766,790039",1381000000
2016-03-29 00:00:00,"11,73817083","17227685,67","4846,620117",1806490000
2016-03-30 00:00:00,"11,88228676","18966041,62","4869,290039",1717820000
2016-03-31 00:00:00,"11,35463054","14483801,49","4869,850098",1774270000
2016-04-01 00:00:00,"11,6360718","11085851,67","4914,540039",1812250000
2016-04-04 00:00:00,"11,18688124","8612716,039","4891,799805",1705730000
2016-04-05 00:00:00,"10,41948469","19160809,11","4843,930176",1726010000
2016-04-06 00:00:00,"10,66622342","16326497,51","4920,720215",1761770000
2016-04-07 00:00:00,"10,0295684","12647730,14","4848,370117",1908940000
2016-04-08 00:00:00,"9,758944911","14041839,9","4850,689941",1588830000
2016-04-11 00:00:00,"8,668292119","14850316,57","4833,399902",1545540000
2016-04-12 00:00:00,"7,516812234","22286939,44","4872,089844",1759280000
2016-04-13 00:00:00,"8,015604593","30653780,44","4947,419922",1936450000
2016-04-14 00:00:00,"8,433656021","13178565,12","4945,890137",1645810000
2016-04-15 00:00:00,"8,206137459","11510142,23","4938,220215",1684790000
2016-04-18 00:00:00,"8,960482405","20650475,77","4960,02002",1672260000
2016-04-19 00:00:00,"8,696773039","11931697,81","4940,330078",1824250000
2016-04-20 00:00:00,"8,484150723","14929127,4","4948,129883",1781340000
2016-04-21 00:00:00,"8,111040745",12241737,"4945,890137",1758190000
2016-04-22 00:00:00,"7,855106665","12838519,62","4906,22998",2018930000
2016-04-25 00:00:00,"7,812751656","9849771,906","4895,790039",1582270000
2016-04-26 00:00:00,"7,424663266","17588527,34","4888,279785",1825020000
2016-04-27 00:00:00,"7,72469455","18898653,06","4863,140137",1938780000
2016-04-28 00:00:00,"7,250216005","10503191,4","4805,290039",2161400000
2016-04-29 00:00:00,"7,47581761","8232651,036","4775,359863",2376460000
2016-05-02 00:00:00,"10,10782117","40531647,26","4817,589844",1880460000
2016-05-03 00:00:00,"9,285335811","20068196,22","4763,220215",1984340000
2016-05-04 00:00:00,"9,414136136","16758119,37","4725,640137",1950800000
2016-05-05 00:00:00,"9,827130178","17630163,28","4717,089844",1888350000
2016-05-06 00:00:00,"9,277042147","20206557,48","4736,160156",1860800000
2016-05-09 00:00:00,"9,353276546","10349090,13","4750,209961",1625100000
2016-05-10 00:00:00,"9,350283704","8837274,152","4809,879883",1760120000
2016-05-11 00:00:00,"9,98130292","14650764,26","4760,689941",1859110000
2016-05-12 00:00:00,"10,09149229","22804335,07","4737,330078",1930450000
2016-05-13 00:00:00,"10,58566158","27489270,97","4717,680176",1698030000
2016-05-16 00:00:00,"11,13364598","27963225,28","4775,459961",1741510000
2016-05-17 00:00:00,"12,15713716","36364157,81","4715,72998",1925230000
2016-05-18 00:00:00,"13,35361431","62651459,73","4739,120117",1934100000
2016-05-19 00:00:00,"14,71832476","53477909,08","4712,529785",1805890000
2016-05-20 00:00:00,"13,69368343","48337340,57","4769,560059",1970520000
2016-05-23 00:00:00,"13,2350366","21271913,58","4765,779785",1865110000
2016-05-24 00:00:00,"12,66434299","41166028,01","4861,060059",1942280000
2016-05-25 00:00:00,"12,50426453","25364775,56","4894,890137",1784420000
2016-05-26 00:00:00,"12,49835341","19032556,07","4901,77002",1606250000
2016-05-27 00:00:00,"11,19174476","53491048,64","4933,5",1505020000
2016-05-31 00:00:00,"14,00927376","39491270,92","4948,049805",2285350000
2016-06-01 00:00:00,"13,85793783","20161807,32","4952,25",1797090000
2016-06-02 00:00:00,"13,77433887","9543717,947","4971,359863",1729050000
2016-06-03 00:00:00,"13,84273588","21310804,98","4942,52002",1697840000
2016-06-06 00:00:00,"13,94200555","7633717,195","4968,709961",1663840000
2016-06-07 00:00:00,"14,54921695","19688483,52","4961,75",1747760000
2016-06-08 00:00:00,"14,43177555","14566862,12","4974,640137",1692640000
2016-06-09 00:00:00,"14,44062374","6538415,617","4958,620117",1632340000
2016-06-10 00:00:00,"13,94373393","9751904,434","4894,549805",1822200000
